folder,file,raw-size,compress-size,encoding-time,decoding-time,compress-ratio,compress-speed
ssz_blocks,block_6469698.ssz,966612,597959,1176043.000000,363558.000000,1.616519,0.821919
ssz_blocks,block_6469698.ssz,966612,597959,1429536.000000,345284.000000,1.616519,0.676172
ssz_blocks,block_6469698.ssz,966612,597959,1203884.000000,816482.000000,1.616519,0.802911
ssz_blocks,block_6469698.ssz,966612,597959,2127997.000000,657606.000000,1.616519,0.454236
ssz_blocks,block_6469698.ssz,966612,597959,2028472.000000,585121.000000,1.616519,0.476522
ssz_blocks,block_6469698.ssz,966612,597959,1366167.000000,627590.000000,1.616519,0.707536
ssz_blocks,block_6469698.ssz,966612,597959,1663893.000000,586884.000000,1.616519,0.580934
ssz_blocks,block_6469698.ssz,966612,597959,1514184.000000,642508.000000,1.616519,0.638372
ssz_blocks,block_6469698.ssz,966612,597959,1668491.000000,1023558.000000,1.616519,0.579333
ssz_blocks,block_6469698.ssz,966612,597959,1655036.000000,576364.000000,1.616519,0.584043
