folder,file,raw-size,compress-size,encoding-time,decoding-time,compress-ratio,compress-speed
ssz_blocks,block_6081069.ssz,1029725,593346,1735115.000000,655412.000000,1.735455,0.593462
ssz_blocks,block_6081069.ssz,1029725,593346,1745895.000000,539766.000000,1.735455,0.589798
ssz_blocks,block_6081069.ssz,1029725,593346,1378801.000000,467512.000000,1.735455,0.746826
ssz_blocks,block_6081069.ssz,1029725,593346,2112139.000000,868659.000000,1.735455,0.487527
ssz_blocks,block_6081069.ssz,1029725,593346,2186617.000000,807375.000000,1.735455,0.470922
ssz_blocks,block_6081069.ssz,1029725,593346,1369183.000000,544675.000000,1.735455,0.752073
ssz_blocks,block_6081069.ssz,1029725,593346,1525584.000000,880351.000000,1.735455,0.674971
ssz_blocks,block_6081069.ssz,1029725,593346,1513222.000000,375310.000000,1.735455,0.680485
ssz_blocks,block_6081069.ssz,1029725,593346,1380674.000000,814488.000000,1.735455,0.745813
ssz_blocks,block_6081069.ssz,1029725,593346,2101728.000000,807305.000000,1.735455,0.489942
