folder,file,raw-size,compress-size,encoding-time,decoding-time,compress-ratio,compress-speed
ssz_blocks,block_5913133.ssz,897942,444047,1132511.000000,277478.000000,2.022178,0.792877
ssz_blocks,block_5913133.ssz,897942,444047,856777.000000,543763.000000,2.022178,1.048046
ssz_blocks,block_5913133.ssz,897942,444047,767952.000000,324004.000000,2.022178,1.169268
ssz_blocks,block_5913133.ssz,897942,444047,716416.000000,350263.000000,2.022178,1.253381
ssz_blocks,block_5913133.ssz,897942,444047,896001.000000,494021.000000,2.022178,1.002166
ssz_blocks,block_5913133.ssz,897942,444047,730912.000000,315409.000000,2.022178,1.228523
ssz_blocks,block_5913133.ssz,897942,444047,695407.000000,271777.000000,2.022178,1.291247
ssz_blocks,block_5913133.ssz,897942,444047,965521.000000,278179.000000,2.022178,0.930008
ssz_blocks,block_5913133.ssz,897942,444047,898055.000000,268981.000000,2.022178,0.999874
ssz_blocks,block_5913133.ssz,897942,444047,976440.000000,319186.000000,2.022178,0.919608
