folder,file,raw-size,compress-size,encoding-time,decoding-time,compress-ratio,compress-speed
ssz_blocks,block_6280045.ssz,997031,784199,793490.000000,350203.000000,1.271400,1.256514
ssz_blocks,block_6280045.ssz,997031,784199,908304.000000,258843.000000,1.271400,1.097684
ssz_blocks,block_6280045.ssz,997031,784199,512736.000000,501315.000000,1.271400,1.944531
ssz_blocks,block_6280045.ssz,997031,784199,727486.000000,491877.000000,1.271400,1.370516
ssz_blocks,block_6280045.ssz,997031,784199,695156.000000,370310.000000,1.271400,1.434255
ssz_blocks,block_6280045.ssz,997031,784199,969337.000000,251519.000000,1.271400,1.028570
ssz_blocks,block_6280045.ssz,997031,784199,707219.000000,321990.000000,1.271400,1.409791
ssz_blocks,block_6280045.ssz,997031,784199,612342.000000,331849.000000,1.271400,1.628226
ssz_blocks,block_6280045.ssz,997031,784199,619826.000000,380309.000000,1.271400,1.608566
ssz_blocks,block_6280045.ssz,997031,784199,700436.000000,333161.000000,1.271400,1.423443
