folder,file,raw-size,compress-size,encoding-time,decoding-time,compress-ratio,compress-speed
ssz_blocks,block_6049945.ssz,889920,850834,472571.000000,449127.000000,1.045938,1.883146
ssz_blocks,block_6049945.ssz,889920,850834,291003.000000,96160.000000,1.045938,3.058113
ssz_blocks,block_6049945.ssz,889920,850834,386921.000000,159157.000000,1.045938,2.300004
ssz_blocks,block_6049945.ssz,889920,850834,247902.000000,209932.000000,1.045938,3.589806
ssz_blocks,block_6049945.ssz,889920,850834,388354.000000,79418.000000,1.045938,2.291518
ssz_blocks,block_6049945.ssz,889920,850834,168824.000000,74308.000000,1.045938,5.271288
ssz_blocks,block_6049945.ssz,889920,850834,213197.000000,52458.000000,1.045938,4.174168
ssz_blocks,block_6049945.ssz,889920,850834,88525.000000,51676.000000,1.045938,10.052753
ssz_blocks,block_6049945.ssz,889920,850834,199131.000000,58369.000000,1.045938,4.469018
ssz_blocks,block_6049945.ssz,889920,850834,105407.000000,57948.000000,1.045938,8.442703
