folder,file,raw-size,compress-size,encoding-time,decoding-time,compress-ratio,compress-speed
json_blocks,block_6522217.json,1833626,751388,3554395.000000,1245201.000000,2.440318,0.515876
json_blocks,block_6522217.json,1833626,751388,3092645.000000,1360787.000000,2.440318,0.592899
json_blocks,block_6522217.json,1833626,751388,3076635.000000,1272422.000000,2.440318,0.595984
json_blocks,block_6522217.json,1833626,751388,3067398.000000,1588191.000000,2.440318,0.597779
json_blocks,block_6522217.json,1833626,751388,3047490.000000,1249580.000000,2.440318,0.601684
json_blocks,block_6522217.json,1833626,751388,4016506.000000,1878311.000000,2.440318,0.456523
json_blocks,block_6522217.json,1833626,751388,3297748.000000,1403476.000000,2.440318,0.556024
json_blocks,block_6522217.json,1833626,751388,3330778.000000,1392395.000000,2.440318,0.550510
json_blocks,block_6522217.json,1833626,751388,3070432.000000,1505345.000000,2.440318,0.597188
json_blocks,block_6522217.json,1833626,751388,4005066.000000,1701812.000000,2.440318,0.457827
