folder,file,raw-size,compress-size,encoding-time,decoding-time,compress-ratio,compress-speed
json_blocks,block_6257428.json,1922136,1011023,5340525.000000,1092767.000000,1.901179,0.359915
json_blocks,block_6257428.json,1922136,1011023,3620158.000000,1293311.000000,1.901179,0.530954
json_blocks,block_6257428.json,1922136,1011023,3381144.000000,1222729.000000,1.901179,0.568487
json_blocks,block_6257428.json,1922136,1011023,3723510.000000,1221326.000000,1.901179,0.516216
json_blocks,block_6257428.json,1922136,1011023,3718663.000000,1356158.000000,1.901179,0.516889
json_blocks,block_6257428.json,1922136,1011023,3852220.000000,1253576.000000,1.901179,0.498968
json_blocks,block_6257428.json,1922136,1011023,3788842.000000,1338996.000000,1.901179,0.507315
json_blocks,block_6257428.json,1922136,1011023,3824970.000000,1242456.000000,1.901179,0.502523
json_blocks,block_6257428.json,1922136,1011023,4683339.000000,1622584.000000,1.901179,0.410420
json_blocks,block_6257428.json,1922136,1011023,4817651.000000,1670984.000000,1.901179,0.398978
