folder,file,raw-size,compress-size,encoding-time,decoding-time,compress-ratio,compress-speed
json_blocks,block_6049945.json,1793508,1683544,1728892.000000,333151.000000,1.065317,1.037374
json_blocks,block_6049945.json,1793508,1683544,505011.000000,259974.000000,1.065317,3.551424
json_blocks,block_6049945.json,1793508,1683544,905768.000000,341036.000000,1.065317,1.980096
json_blocks,block_6049945.json,1793508,1683544,514780.000000,223677.000000,1.065317,3.484028
json_blocks,block_6049945.json,1793508,1683544,677994.000000,709934.000000,1.065317,2.645315
json_blocks,block_6049945.json,1793508,1683544,874410.000000,377324.000000,1.065317,2.051106
json_blocks,block_6049945.json,1793508,1683544,508969.000000,234727.000000,1.065317,3.523806
json_blocks,block_6049945.json,1793508,1683544,1017787.000000,530469.000000,1.065317,1.762164
json_blocks,block_6049945.json,1793508,1683544,704503.000000,330847.000000,1.065317,2.545778
json_blocks,block_6049945.json,1793508,1683544,1340288.000000,283468.000000,1.065317,1.338151
