folder,file,raw-size,compress-size,encoding-time,decoding-time,compress-ratio,compress-speed
ssz_blocks,block_6141601.ssz,1038982,994365,513297.000000,221693.000000,1.044870,2.024134
ssz_blocks,block_6141601.ssz,1038982,994365,120775.000000,125314.000000,1.044870,8.602625
ssz_blocks,block_6141601.ssz,1038982,994365,312482.000000,231181.000000,1.044870,3.324934
ssz_blocks,block_6141601.ssz,1038982,994365,442024.000000,160569.000000,1.044870,2.350510
ssz_blocks,block_6141601.ssz,1038982,994365,325096.000000,65622.000000,1.044870,3.195924
ssz_blocks,block_6141601.ssz,1038982,994365,190004.000000,96450.000000,1.044870,5.468211
ssz_blocks,block_6141601.ssz,1038982,994365,254474.000000,71924.000000,1.044870,4.082861
ssz_blocks,block_6141601.ssz,1038982,994365,211073.000000,65432.000000,1.044870,4.922382
ssz_blocks,block_6141601.ssz,1038982,994365,277567.000000,155359.000000,1.044870,3.743176
ssz_blocks,block_6141601.ssz,1038982,994365,382393.000000,135633.000000,1.044870,2.717053
