folder,file,raw-size,compress-size,encoding-time,decoding-time,compress-ratio,compress-speed
json_blocks,block_6008481.json,1981294,1855265,1264106.000000,1104369.000000,1.067930,1.567348
json_blocks,block_6008481.json,1981294,1855265,2516660.000000,1213903.000000,1.067930,0.787271
json_blocks,block_6008481.json,1981294,1855265,2402608.000000,930424.000000,1.067930,0.824643
json_blocks,block_6008481.json,1981294,1855265,1611934.000000,462963.000000,1.067930,1.229141
json_blocks,block_6008481.json,1981294,1855265,1267834.000000,277618.000000,1.067930,1.562739
json_blocks,block_6008481.json,1981294,1855265,1705460.000000,332870.000000,1.067930,1.161736
json_blocks,block_6008481.json,1981294,1855265,1106673.000000,336428.000000,1.067930,1.790316
json_blocks,block_6008481.json,1981294,1855265,1382447.000000,1175190.000000,1.067930,1.433179
json_blocks,block_6008481.json,1981294,1855265,1536684.000000,459045.000000,1.067930,1.289331
json_blocks,block_6008481.json,1981294,1855265,1347913.000000,332880.000000,1.067930,1.469898
