folder,file,raw-size,compress-size,encoding-time,decoding-time,compress-ratio,compress-speed
json_blocks,block_6141601.json,2091601,1970416,1656799.000000,568811.000000,1.061502,1.262435
json_blocks,block_6141601.json,2091601,1970416,1830382.000000,623322.000000,1.061502,1.142713
json_blocks,block_6141601.json,2091601,1970416,1517809.000000,458875.000000,1.061502,1.378040
json_blocks,block_6141601.json,2091601,1970416,1424064.000000,441323.000000,1.061502,1.468755
json_blocks,block_6141601.json,2091601,1970416,1153621.000000,389276.000000,1.061502,1.813075
json_blocks,block_6141601.json,2091601,1970416,1040890.000000,247782.000000,1.061502,2.009435
json_blocks,block_6141601.json,2091601,1970416,1450424.000000,470718.000000,1.061502,1.442062
json_blocks,block_6141601.json,2091601,1970416,1172566.000000,406508.000000,1.061502,1.783781
json_blocks,block_6141601.json,2091601,1970416,950492.000000,240218.000000,1.061502,2.200546
json_blocks,block_6141601.json,2091601,1970416,714742.000000,203880.000000,1.061502,2.926372
