folder,file,raw-size,compress-size,encoding-time,decoding-time,compress-ratio,compress-speed
ssz_blocks,block_6062982.ssz,1167132,1132930,291603.000000,374207.000000,1.030189,4.002469
ssz_blocks,block_6062982.ssz,1167132,1132930,132056.000000,163595.000000,1.030189,8.838160
ssz_blocks,block_6062982.ssz,1167132,1132930,138819.000000,121276.000000,1.030189,8.407581
ssz_blocks,block_6062982.ssz,1167132,1132930,161101.000000,108382.000000,1.030189,7.244722
ssz_blocks,block_6062982.ssz,1167132,1132930,358308.000000,210342.000000,1.030189,3.257343
ssz_blocks,block_6062982.ssz,1167132,1132930,406688.000000,168564.000000,1.030189,2.869846
ssz_blocks,block_6062982.ssz,1167132,1132930,283288.000000,67876.000000,1.030189,4.119949
ssz_blocks,block_6062982.ssz,1167132,1132930,209190.000000,74419.000000,1.030189,5.579292
ssz_blocks,block_6062982.ssz,1167132,1132930,207467.000000,68547.000000,1.030189,5.625627
ssz_blocks,block_6062982.ssz,1167132,1132930,218878.000000,67996.000000,1.030189,5.332340
