folder,file,raw-size,compress-size,encoding-time,decoding-time,compress-ratio,compress-speed
json_blocks,block_5913131.json,2713711,1618663,2809176.000000,969597.000000,1.676514,0.966017
json_blocks,block_5913131.json,2713711,1618663,2952553.000000,1221556.000000,1.676514,0.919107
json_blocks,block_5913131.json,2713711,1618663,2858609.000000,1003340.000000,1.676514,0.949312
json_blocks,block_5913131.json,2713711,1618663,3000833.000000,886442.000000,1.676514,0.904319
json_blocks,block_5913131.json,2713711,1618663,2580721.000000,1152247.000000,1.676514,1.051532
json_blocks,block_5913131.json,2713711,1618663,2723006.000000,1097797.000000,1.676514,0.996586
json_blocks,block_5913131.json,2713711,1618663,2786444.000000,3527845.000000,1.676514,0.973898
json_blocks,block_5913131.json,2713711,1618663,3560437.000000,1045729.000000,1.676514,0.762185
json_blocks,block_5913131.json,2713711,1618663,2797174.000000,1372598.000000,1.676514,0.970162
json_blocks,block_5913131.json,2713711,1618663,2601829.000000,946164.000000,1.676514,1.043001
