folder,file,raw-size,compress-size,encoding-time,decoding-time,compress-ratio,compress-speed
ssz_blocks,block_6495347.ssz,1052540,539120,982381.000000,432917.000000,1.952330,1.071417
ssz_blocks,block_6495347.ssz,1052540,539120,1228961.000000,798248.000000,1.952330,0.856447
ssz_blocks,block_6495347.ssz,1052540,539120,1701041.000000,700837.000000,1.952330,0.618762
ssz_blocks,block_6495347.ssz,1052540,539120,1212641.000000,567729.000000,1.952330,0.867973
ssz_blocks,block_6495347.ssz,1052540,539120,1664393.000000,797908.000000,1.952330,0.632387
ssz_blocks,block_6495347.ssz,1052540,539120,1331994.000000,808287.000000,1.952330,0.790199
ssz_blocks,block_6495347.ssz,1052540,539120,1669303.000000,629944.000000,1.952330,0.630527
ssz_blocks,block_6495347.ssz,1052540,539120,1211028.000000,535558.000000,1.952330,0.869129
ssz_blocks,block_6495347.ssz,1052540,539120,1492051.000000,577666.000000,1.952330,0.705432
ssz_blocks,block_6495347.ssz,1052540,539120,2270002.000000,1022897.000000,1.952330,0.463674
