folder,file,raw-size,compress-size,encoding-time,decoding-time,compress-ratio,compress-speed
ssz_blocks,block_6487610.ssz,994732,519200,2014116.000000,746342.000000,1.915894,0.493880
ssz_blocks,block_6487610.ssz,994732,519200,2117939.000000,1214214.000000,1.915894,0.469670
ssz_blocks,block_6487610.ssz,994732,519200,1821215.000000,885762.000000,1.915894,0.546191
ssz_blocks,block_6487610.ssz,994732,519200,2491224.000000,825920.000000,1.915894,0.399294
ssz_blocks,block_6487610.ssz,994732,519200,1768457.000000,1162117.000000,1.915894,0.562486
ssz_blocks,block_6487610.ssz,994732,519200,1362621.000000,581745.000000,1.915894,0.730014
ssz_blocks,block_6487610.ssz,994732,519200,1880436.000000,806223.000000,1.915894,0.528990
ssz_blocks,block_6487610.ssz,994732,519200,1803803.000000,763483.000000,1.915894,0.551464
ssz_blocks,block_6487610.ssz,994732,519200,1608368.000000,616739.000000,1.915894,0.618473
ssz_blocks,block_6487610.ssz,994732,519200,1362129.000000,949841.000000,1.915894,0.730277
