folder,file,raw-size,compress-size,encoding-time,decoding-time,compress-ratio,compress-speed
ssz_blocks,block_6141554.ssz,1005067,958826,342438.000000,326639.000000,1.048227,2.935033
ssz_blocks,block_6141554.ssz,1005067,958826,156451.000000,113662.000000,1.048227,6.424165
ssz_blocks,block_6141554.ssz,1005067,958826,147986.000000,118852.000000,1.048227,6.791636
ssz_blocks,block_6141554.ssz,1005067,958826,137316.000000,98784.000000,1.048227,7.319373
ssz_blocks,block_6141554.ssz,1005067,958826,126376.000000,97812.000000,1.048227,7.952989
ssz_blocks,block_6141554.ssz,1005067,958826,149058.000000,128710.000000,1.048227,6.742791
ssz_blocks,block_6141554.ssz,1005067,958826,136354.000000,122479.000000,1.048227,7.371012
ssz_blocks,block_6141554.ssz,1005067,958826,186437.000000,67777.000000,1.048227,5.390920
ssz_blocks,block_6141554.ssz,1005067,958826,421416.000000,217646.000000,1.048227,2.384976
ssz_blocks,block_6141554.ssz,1005067,958826,177952.000000,201957.000000,1.048227,5.647967
