folder,file,raw-size,compress-size,encoding-time,decoding-time,compress-ratio,compress-speed
json_blocks,block_6515009.json,2241951,884197,3098415.000000,1204516.000000,2.535579,0.723580
json_blocks,block_6515009.json,2241951,884197,4072873.000000,1975572.000000,2.535579,0.550459
json_blocks,block_6515009.json,2241951,884197,3710045.000000,1578762.000000,2.535579,0.604292
json_blocks,block_6515009.json,2241951,884197,4848779.000000,1819512.000000,2.535579,0.462374
json_blocks,block_6515009.json,2241951,884197,5530679.000000,2209099.000000,2.535579,0.405366
json_blocks,block_6515009.json,2241951,884197,4181343.000000,1388619.000000,2.535579,0.536180
json_blocks,block_6515009.json,2241951,884197,3841360.000000,1544680.000000,2.535579,0.583635
json_blocks,block_6515009.json,2241951,884197,3205496.000000,1381685.000000,2.535579,0.699408
json_blocks,block_6515009.json,2241951,884197,3868761.000000,1536694.000000,2.535579,0.579501
json_blocks,block_6515009.json,2241951,884197,3934073.000000,1536815.000000,2.535579,0.569880
