folder,file,raw-size,compress-size,encoding-time,decoding-time,compress-ratio,compress-speed
ssz_blocks,block_6430112.ssz,1110085,560304,1408786.000000,580683.000000,1.981219,0.787973
ssz_blocks,block_6430112.ssz,1110085,560304,1984630.000000,801794.000000,1.981219,0.559341
ssz_blocks,block_6430112.ssz,1110085,560304,1796870.000000,585130.000000,1.981219,0.617788
ssz_blocks,block_6430112.ssz,1110085,560304,1870277.000000,783821.000000,1.981219,0.593540
ssz_blocks,block_6430112.ssz,1110085,560304,1530013.000000,412359.000000,1.981219,0.725540
ssz_blocks,block_6430112.ssz,1110085,560304,1189588.000000,418951.000000,1.981219,0.933168
ssz_blocks,block_6430112.ssz,1110085,560304,1360747.000000,604196.000000,1.981219,0.815791
ssz_blocks,block_6430112.ssz,1110085,560304,1832677.000000,706387.000000,1.981219,0.605718
ssz_blocks,block_6430112.ssz,1110085,560304,1819703.000000,772230.000000,1.981219,0.610036
ssz_blocks,block_6430112.ssz,1110085,560304,1892008.000000,776718.000000,1.981219,0.586723
