folder,file,raw-size,compress-size,encoding-time,decoding-time,compress-ratio,compress-speed
ssz_blocks,block_6451529.ssz,1026799,518813,2521411.000000,472130.000000,1.979131,0.407232
ssz_blocks,block_6451529.ssz,1026799,518813,1051490.000000,595049.000000,1.979131,0.976518
ssz_blocks,block_6451529.ssz,1026799,518813,1133534.000000,630766.000000,1.979131,0.905839
ssz_blocks,block_6451529.ssz,1026799,518813,1583062.000000,767551.000000,1.979131,0.648616
ssz_blocks,block_6451529.ssz,1026799,518813,1219714.000000,694365.000000,1.979131,0.841836
ssz_blocks,block_6451529.ssz,1026799,518813,1534471.000000,687031.000000,1.979131,0.669155
ssz_blocks,block_6451529.ssz,1026799,518813,1535734.000000,633291.000000,1.979131,0.668605
ssz_blocks,block_6451529.ssz,1026799,518813,1623988.000000,804911.000000,1.979131,0.632270
ssz_blocks,block_6451529.ssz,1026799,518813,1900473.000000,631468.000000,1.979131,0.540286
ssz_blocks,block_6451529.ssz,1026799,518813,1511157.000000,1002539.000000,1.979131,0.679479
