folder,file,raw-size,compress-size,encoding-time,decoding-time,compress-ratio,compress-speed
ssz_blocks,block_6264566.ssz,971429,932147,526612.000000,266547.000000,1.042141,1.844677
ssz_blocks,block_6264566.ssz,971429,932147,444409.000000,420484.000000,1.042141,2.185890
ssz_blocks,block_6264566.ssz,971429,932147,245808.000000,174125.000000,1.042141,3.951983
ssz_blocks,block_6264566.ssz,971429,932147,324715.000000,255426.000000,1.042141,2.991636
ssz_blocks,block_6264566.ssz,971429,932147,508208.000000,84137.000000,1.042141,1.911479
ssz_blocks,block_6264566.ssz,971429,932147,145331.000000,379918.000000,1.042141,6.684252
ssz_blocks,block_6264566.ssz,971429,932147,215111.000000,205192.000000,1.042141,4.515943
ssz_blocks,block_6264566.ssz,971429,932147,443367.000000,167592.000000,1.042141,2.191027
ssz_blocks,block_6264566.ssz,971429,932147,210653.000000,135964.000000,1.042141,4.611513
ssz_blocks,block_6264566.ssz,971429,932147,179946.000000,146393.000000,1.042141,5.398447
