folder,file,raw-size,compress-size,encoding-time,decoding-time,compress-ratio,compress-speed
ssz_blocks,block_6442585.ssz,887837,450834,1514563.000000,1065857.000000,1.969321,0.586200
ssz_blocks,block_6442585.ssz,887837,450834,1525934.000000,561536.000000,1.969321,0.581832
ssz_blocks,block_6442585.ssz,887837,450834,1622715.000000,568821.000000,1.969321,0.547131
ssz_blocks,block_6442585.ssz,887837,450834,2164857.000000,792177.000000,1.969321,0.410113
ssz_blocks,block_6442585.ssz,887837,450834,1826445.000000,797878.000000,1.969321,0.486101
ssz_blocks,block_6442585.ssz,887837,450834,1784247.000000,794191.000000,1.969321,0.497598
ssz_blocks,block_6442585.ssz,887837,450834,1758378.000000,744398.000000,1.969321,0.504918
ssz_blocks,block_6442585.ssz,887837,450834,1133714.000000,408973.000000,1.969321,0.783123
ssz_blocks,block_6442585.ssz,887837,450834,1179088.000000,570804.000000,1.969321,0.752986
ssz_blocks,block_6442585.ssz,887837,450834,1616695.000000,627701.000000,1.969321,0.549168
