,folder,file,raw-size,compress-size,encoding-time,decoding-time,compress-ratio,compress-speed
53,json_blocks,block_6408892.json,2330333.0,1000322.0,4148760.2,1725943.2,2.329583,0.5964613000000001
54,json_blocks,block_6408918.json,2280250.0,967610.0,4347691.899999999,1665534.5,2.35658,0.5313926
55,json_blocks,block_6417848.json,2068414.0,1157226.0,4459099.899999999,1793927.9,1.78739,0.4767392
56,json_blocks,block_6424381.json,2133499.0,2023703.0,1134147.0,589450.7999999999,1.054255,1.9581632999999998
57,json_blocks,block_6424383.json,2344224.0,2245827.0,956838.3,478451.7,1.043813,2.9180859999999997
58,json_blocks,block_6430112.json,2234539.0,915197.0,3896233.6,1477795.5999999999,2.441593,0.6141447
59,json_blocks,block_6434946.json,2252312.0,1200256.0,4934222.3,1905692.2,1.876526,0.4693728
60,json_blocks,block_6437567.json,1839823.0,765481.0,3579400.0,1528752.4,2.403486,0.5465024
61,json_blocks,block_6442585.json,1790082.0,738749.0,3094771.0,1398745.0999999999,2.423126,0.5820862
62,json_blocks,block_6447679.json,1854108.0,971461.0,3878320.3,1664860.2,1.9085770000000002,0.4959217
63,json_blocks,block_6448699.json,2513122.0,1080669.0,4889182.2,1821203.0,2.325524,0.5283398
64,json_blocks,block_6450782.json,1835383.0,912745.0,3142339.5,1254708.8,2.010839,0.5988456
65,json_blocks,block_6450786.json,3410519.0,1422043.0,6034033.5,2527762.9,2.398323,0.5750115
66,json_blocks,block_6450858.json,2063943.0,944382.0,4277267.8,1486950.5999999999,2.185496,0.49268049999999997
67,json_blocks,block_6450994.json,1798166.0,773727.0,3423993.3,1315348.8,2.324032,0.5348264
68,json_blocks,block_6451037.json,1984883.0,789004.0,3182426.1,1179095.0,2.515682,0.6669541
69,json_blocks,block_6451529.json,2060869.0,853421.0,4009141.0,1538362.6,2.414833,0.5220695
70,json_blocks,block_6451943.json,1876019.0,803953.0,3087841.9,1311311.4000000001,2.333493,0.6234626
71,json_blocks,block_6452127.json,2317289.0,1019393.0,4523240.3,2001361.5,2.273205,0.5244045
72,json_blocks,block_6455872.json,1820322.0,789475.0,3319323.3,1274407.5,2.305737,0.5628737
73,json_blocks,block_6455982.json,2507512.0,1091508.0,4597793.399999999,1543669.4,2.297291,0.5529801
74,json_blocks,block_6456763.json,1925912.0,831071.0,3929763.0,1419466.8,2.317386,0.4983488
75,json_blocks,block_6457975.json,2000523.0,816180.0,3426464.0,1284430.2,2.451081,0.6057512
76,json_blocks,block_6457980.json,2028394.0,860277.0,3509918.3,1561851.3,2.357838,0.5857173999999999
77,json_blocks,block_6459134.json,2962887.0,1206808.0,5977369.7,2366151.5,2.455144,0.5080175
78,json_blocks,block_6459135.json,2547739.0,1028656.0,5353786.5,2126692.4,2.476765,0.4866544
79,json_blocks,block_6460103.json,1776261.0,714329.0,3584743.0,1512723.7,2.486615,0.5027370999999999
80,json_blocks,block_6462842.json,1783216.0,716747.0,3203513.5,1468173.8,2.487929,0.565277
81,json_blocks,block_6463562.json,1772134.0,722958.0,3581905.7,1688669.7,2.451227,0.5071243
82,json_blocks,block_6469698.json,1947373.0,1091585.0,4107268.9,1327034.5,1.783987,0.4847191
83,json_blocks,block_6471695.json,1843980.0,767309.0,3709648.9,1336191.5999999999,2.403178,0.5037551
84,json_blocks,block_6487387.json,1960649.0,1024112.0,4335176.8,1699494.9,1.9144870000000003,0.4631353
85,json_blocks,block_6487416.json,1935149.0,895550.0,3808636.5,1536397.8,2.16085,0.5187951000000001
86,json_blocks,block_6487609.json,4292101.0,1577775.0,7332076.7,2657117.6999999997,2.72035,0.5900681
87,json_blocks,block_6487610.json,2003685.0,873667.0,3637193.6,1683958.8,2.29342,0.5715737
88,json_blocks,block_6495347.json,2119543.0,878019.0,3834645.9,1594485.0,2.414006,0.5591663
89,json_blocks,block_6501596.json,1927659.0,1389797.0,2412985.0,1002936.2,1.387008,0.8160862999999999
90,json_blocks,block_6502336.json,2136290.0,2051303.0,952114.4,472565.9,1.041431,2.2757467
91,json_blocks,block_6503267.json,1793352.0,1025699.0,3369696.1,1114215.0,1.748419,0.5401983
92,json_blocks,block_6507058.json,1726406.0,712436.0,2894607.6,1020973.2,2.423244,0.6244182
